00:13:72:87:7f:1f, 10.116.99.10, galilei_0
d8:50:e6:d5:55:71, 10.116.99.11, galilei_1
3C:52:82:6D:76:EC, 10.116.99.12, galilei_2
00:26:55:42:9a:e0, 10.116.99.13, galilei_3
00:24:81:92:05:dd, 10.116.99.14, galilei_4
24:be:05:1d:98:7c, 10.116.99.15, galilei_5
00:26:55:3e:3f:37, 10.116.99.16, galilei_6
d8:50:e6:d5:55:bd, 10.116.99.17, galilei_7
08:60:6e:6d:bc:5a, 10.116.99.18, galilei_8
00:25:b3:cc:63:26, 10.116.99.19, galilei_9
00:26:55:42:95:6b, 10.116.99.20, galilei_10
08:60:6e:6d:bb:ad, 10.116.99.21, galilei_11
24:be:05:10:98:53, 10.116.99.22, galilei_12
d8:50:e6:05:55:63, 10.116.99.23, galilei_13
d8:50:e6:05:53:b8, 10.116.99.24, galilei_14
d8:50:e6:05:55:96, 10.116.99.25, galilei_15
3C:52:82:73:02:5A, 10.116.99.26, galilei_16
3C:52:82:73:D0:B7, 10.116.99.27, galilei_17
3C:52:82:6D:71:8C, 10.116.99.28, galilei_18
3C:52:82:6D:68:02, 10.116.99.29, galilei_19
3C:52:82:73:2C:00, 10.116.99.30, galilei_20
00:1a:4b:c5:6d:f3, 10.116.99.31, galilei_21
00:f1:29:3a:2a:97, 10.116.99.32, galilei_22
d8:50:e6:d5:55:93, 10.116.99.33, galilei_23
74:d0:2b:c5:78:3f, 10.116.99.34, galilei_24
74:d0:2b:c5:7d:bf, 10.116.99.35, galilei_25
00:24:81:92:07:ea, 10.116.99.36, galilei_26
d4:85:64:09:65:1f, 10.116.99.37, galilei_27
00:22:64:a6:ac:80, 10.116.99.38, galilei_28
d8:50:e6:d5:53:5a, 10.116.99.39, galilei_29
08:60:6e:6d:bc:51, 10.116.99.40, galilei_30
d8:50:e6:d5:55:b4, 10.116.99.42, faraday_0
00:26:55:42:98:a1, 10.116.99.43, faraday_1
00:26:55:42:9b:38, 10.116.99.44, faraday_2
00:24:81:92:06:31, 10.116.99.45, faraday_3
00:25:b3:cc:63:30, 10.116.99.46, faraday_4
00:22:64:a6:ac:79, 10.116.99.47, faraday_5
00:22:64:a6:ac:0f, 10.116.99.48, faraday_6
00:22:64:a7:34:3f, 10.116.99.49, faraday_7
00:26:55:42:9b:31, 10.116.99.50, faraday_8
00:25:b3:28:d9:56, 10.116.99.51, faraday_9
00:26:55:42:94:b3, 10.116.99.52, faraday_10
3C:52:82:73:02:59, 10.116.99.53, faraday_11
3C:52:82:73:2C:37, 10.116.99.54, faraday_12
